category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
Vehicles,multiple,easy,The LS2 engine is how many cubic inches?,364,346,376,402
Vehicles,multiple,easy,The LS3 engine is how many cubic inches?,376,346,364,427
Science: Computers,multiple,easy,How many values can a single byte represent?,256,8,1,1024
Entertainment: Video Games,multiple,easy,What is the name of the game developer who created Call Of Duty: Zombies?,Treyarch,Sledgehammer Games,Infinity Ward,Naughty Dog
Entertainment: Film,multiple,easy,What is the name of the island that ;Jurassic Park is built on?,Isla Nublar,Isla Sorna,Isla Muerta,Isla Pena
Celebrities,multiple,easy,By which name is Ramon Estevez better known as?,Martin Sheen,Charlie Sheen,Ramon Sheen,Emilio Estevez
Politics,multiple,medium,Who was the British Prime Minister at the outbreak of the Second World War?,Neville Chamberlain,Clement Attlee,Winston Churchill,Stanley Baldwin
Entertainment: Comics,multiple,medium,"In Marvel Comics, Taurus is the founder and leader of which criminal organization?",Zodiac,Scorpio,Tiger Mafia,The Union
Entertainment: Video Games,multiple,medium,What was the character Kirby originally going to be named?,Popopo,Dedede,Waddle Dee,Prince Puff
History,multiple,medium,"During the Mongolian invasions of Japan, what were the Mongol boats mostly stopped by?",Typhoons,Tornados,Economic depression,Samurai
Entertainment: Video Games,multiple,medium,Who was the mascot of SEGA mascot before Sonic the Hedgehog?,Alex Kidd,Opa Opa,NiGHTS,Ristar
History,multiple,medium,During what war did the Cuban Missile Crisis occur?,Cold War,World War I,World War II,Revolutionary War
Entertainment: Music,multiple,medium,Which Elton John hit starts with the line When are you gonna come down?,Goodbye Yellow Brick Road,Rocket Man,Bennie and the Jets,Crocodile Rock
Entertainment: Music,multiple,medium,Who had a 1976 hit with the song 'You Make Me Feel Like Dancing'?,Leo Sayer,Elton John,Billy Joel,Andy Gibb
Entertainment: Film,multiple,medium,"In the 1984 movie The Terminator, what model number is the Terminator portrayed by Arnold Schwarzenegger?",T-800,I-950,T-888,T-1000
Entertainment: Music,multiple,medium,Which of these is NOT an album released by The Beatles?,The Wall,Abbey Road,Magical Mystery Tour,Revolver
General Knowledge,multiple,medium,Rolex is a company that specializes in what type of product?,Watches,Cars,Computers,Sports equipment
Celebrities,multiple,medium,Paul McCartney has always used his middle name. What is his real first name? ,James,John,Jack,Justin
Science & Nature,multiple,medium,What mineral has the lowest number on the Mohs scale?,Talc,Quartz,Diamond,Gypsum
Entertainment: Books,multiple,medium,"In the The Hobbit, who kills Smaug?",Bard,Bilbo Baggins,Gandalf the Grey,Frodo
Science: Computers,multiple,medium,All of the following programs are classified as raster graphics editors EXCEPT:,Inkscape,Paint.NET,GIMP,Adobe Photoshop
Science & Nature,multiple,medium,"What polymer is used to make CDs, safety goggles and riot shields?",Polycarbonate,Rubber,Nylon,Bakelite
Science & Nature,multiple,medium,Which part of the body does glaucoma affect?,Eyes,Throat,Stomach,Blood
General Knowledge,multiple,medium,What is the Swedish word for window?,F&ouml;nster,H&aring;l,Sk&auml;rm,Ruta
Science: Computers,multiple,medium,In the server hosting industry IaaS stands for...,Infrastructure as a Service,Internet as a Service,Internet and a Server,Infrastructure as a Server
Geography,multiple,medium,What is the right way to spell the capital of Hungary?,Budapest,Boodapest,Bhudapest,Budapast
Sports,multiple,medium,Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota,Audi,Ferrari
Entertainment: Video Games,multiple,medium,The creator of the Touhou Project series is:,ZUN,SUN,RUN,PUN
Entertainment: Video Games,multiple,medium,"In Overwatch, what is the name of Mercy's ultimate ability?",Valkyrie,Earthshatter,Rocket Barrage,Molten Core
Entertainment: Music,multiple,medium,"Which of these songs by artist Eminem contain the lyric Nice to meet you. Hi, my name is... I forgot my name!?",Rain Man,Without Me,Kim,Square Dance
Entertainment: Music,multiple,medium,What is the real name of Canadian electronic music producer deadmau5?,Joel Zimmerman,Sonny Moore,Adam Richard Wiles,Thomas Wesley Pentz
Entertainment: Video Games,multiple,medium,How many normal endings are there in Cry Of Fear's campaign mode?,4,5,3,6
History,multiple,medium,Which WWII tank ace is credited with having destroyed the most tanks?,Kurt Knispel,Michael Wittmann,Walter Kniep,Otto Carius
Geography,multiple,medium,What is the official language of Bhutan?,Dzongkha,Ladakhi,Karen,Groma
Entertainment: Music,multiple,medium,Which one of these rappers is NOT a member of the rap group Wu-Tang Clan?,Dr.Dre,Ol' Dirty Bastard,GZA,Method Man
Entertainment: Video Games,multiple,medium,In what Anno game did the eco balance an part of the game play?,Anno 2070,Anno 1404,Anno 2205, Anno 1701
Animals,multiple,medium,Which of these species is not extinct?,Komodo dragon,Japanese sea lion,Tasmanian tiger,Saudi gazelle
Sports,multiple,medium,"In 2016, who won the Formula 1 World Constructor's Championship for the third time in a row?",Mercedes-AMG Petronas,Scuderia Ferrari,McLaren Honda,Red Bull Racing Renault
Entertainment: Television,multiple,medium,What is the name of the Flash and Arrow spinoff featuring a team of characters that have appeared on both shows?,Legends of Tomorrow,Heroes of Tomorrow,The Justice Society of America,The Justice Society
Entertainment: Video Games,multiple,medium,"In Overwatch, how old is Reinhardt Wilhelm?",61,59,65,62
Entertainment: Cartoon & Animations,multiple,medium,"In The Amazing World of Gumball, who is the principal of Elmore Junior High?",Principal Brown,Principal Small,Principal Brawn,Principal Simeon
History,multiple,medium,What was the total length of the Titanic?,882 ft | 268.8 m,759 ft | 231.3 m,1042 ft | 317.6 m,825 ft | 251.5 m
Entertainment: Cartoon & Animations,multiple,medium,Which one of these cartoon characters is NOT voiced by Rob Paulsen?,Max Tennyson (Ben 10),Carl Wheezer (Jimmy Neutron),Yakko Warner (Animaniacs),"The Mask (The Mask, TV Series)"
Entertainment: Video Games,multiple,medium,"In Terraria, which of these items is NOT crafted at a Mythril Anvil?",Ankh Charm,Venom Staff,Sky Fracture,Orichalcum Tools
Entertainment: Books,multiple,medium,"What is the name of the gang that Ponyboy is a part of in the book, The Outsiders?",The Greasers,The Outsiders,The Mafia,The Socs
Entertainment: Video Games,multiple,medium,"In Dota 2, what is Earthshaker's real name?",Raigor Stonehoof,Banehallow Ambry,Carl,Barathrum
Entertainment: Japanese Anime & Manga,multiple,medium,The character Plum from No Game No Life is of what race?,Dhampir,Fl&uuml;gel,Imanity,Seiren
Entertainment: Japanese Anime & Manga,multiple,medium,Who is the creator of the manga series One Piece?,Eiichiro Oda,Yoshihiro Togashi,Hayao Miyazaki,Masashi Kishimoto
Entertainment: Video Games,multiple,medium,When was Club Penguin launched?,"October 24, 2005","October 21, 2005","March 29, 2006","November 22, 2004"
Entertainment: Video Games,multiple,medium,What is the name of the creature that the main character befriends in The Last Guardian?,Trico,Nico,Wolf,Andazi
Entertainment: Film,multiple,medium,Mark Wahlberg played the titular character of which 2008 video-game adaptation?,Max Payne,Alan Wake,Hitman,God Of War
Entertainment: Video Games,multiple,medium,"In Call Of Duty: Zombies, what does the game traditionally reward you for completing a boss round?",Max Ammo,A Pack-A-Punched gun,Death Machine,Monkey Bombs
Entertainment: Video Games,multiple,medium,What was the main currency in Club Penguin?,Coins,Stamps,Tickets,Gems
General Knowledge,multiple,medium,Earl Grey tea is black tea flavoured with what?,Bergamot oil,Lavender,Vanilla,Honey
Entertainment: Video Games,multiple,medium,"In Guild Wars 2, what is the name of the home instance for the Charr race?",Hero's Canton,Gladium Canton,Praetor's Canton,Ligacus Notos
Entertainment: Film,multiple,medium,"In Mulan (1998), who is the leader of the Huns?",Shan Yu,Chien-Po,Li Shang,Fa Zhou
Entertainment: Music,multiple,hard,On which Beatles album would you find the song 'Eleanor Rigby'?,Revolver,Help!,Rubber Soul,Abbey Road
Science & Nature,multiple,hard,Which of the following liquids is least viscous? Assume temperature is 25&deg;C.,Acetone,Water,Mercury,Benzene
Entertainment: Books,multiple,hard,Who wrote the novel Moby-Dick?,Herman Melville,William Golding,William Shakespeare,J. R. R. Tolkien
Entertainment: Video Games,multiple,hard,"In the game The Sims, how many Simoleons does each family start with?","20,000","10,000","15,000","25,000"
Science & Nature,multiple,hard,How many legs is it biologically impossible for a centipede to have?,100,26,50,74
History,multiple,hard,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,New York Spy Ring,Washington's Spies,Unnamed
Entertainment: Music,multiple,hard,Which M83 album is the song Midnight City featured in?,"Hurry Up, We're Dreaming",Saturdays = Youth,Before the Dawn Heals Us,Junk
Geography,multiple,hard,The mountainous Khyber Pass connects which of the two following countries?,Afghanistan and Pakistan,India and Nepal,Pakistan and India,Tajikistan and Kyrgyzstan
Geography,multiple,hard,In 2012 the German-speaking microstate Liechtenstein in Central Europe had a population of how many inhabitants?,"36,600","2,400","90,000","323,400"
Entertainment: Video Games,multiple,hard,"In Sonic the Hedgehog 2 for the Sega Genesis, what do you input in the sound test screen to access the secret level select?",The Lead Programmer's birthday,The first release date of Sonic the Hedgehog,The date Sonic Team was founded,The first release date of Sonic the Hedgehog 2
Mythology,multiple,hard,"In Greek Mythology, who was the daughter of King Minos?",Ariadne,Athena,Ariel,Alana
General Knowledge,multiple,hard,What is the romanized Chinese word for airplane?,Feiji,Qiche,Zongxian,Huojian
General Knowledge,multiple,hard,Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Harry,Gus,Phineas,Ezra
Entertainment: Japanese Anime & Manga,multiple,hard,Which of the following countries does JoJo's Bizarre Adventure: Stardust Crusaders not take place in?,Philippines,India,Pakistan,Egypt
Entertainment: Film,multiple,hard,In what Disney movie can you spot the character Pac-Man in if you look closely enough in some scenes?,Tron,Big Hero 6,Fantasia,"Monsters, Inc."
Entertainment: Japanese Anime & Manga,multiple,hard,What is the last line muttered in the anime film The End of Evangelion?,How disgusting.,"Idiot, I won't let you kill me!",Nothing.,"Goddammit, Shinji."
Vehicles,multiple,hard,Which one of these chassis codes are used by BMW 3-series?,E46,E39,E85,F10
Entertainment: Television,multiple,hard,In It's Always Sunny in Philadelphia what was the name of Frank's wrestling persona?,The Trash Man,Bird of War,Day Man,The Maniac
Entertainment: Comics,multiple,hard,"In the Homestuck Series, what is the alternate name for the Kingdom of Lights?",Prospit,No Name,Golden City,Yellow Moon
Vehicles,multiple,hard,What engine is in the Lexus SC400?,1UZ-FE,2JZ-GTE,7M-GTE,5M-GE
Entertainment: Video Games,multiple,hard,"In Animal Crossing: New Leaf, which of these paintings from Redd's Art Gallery is always genuine?",Warm Painting,Jolly Painting,Neutral Painting,Wistful Painting
Entertainment: Music,multiple,hard,All the Boys by Panic! At the Disco was released as a bonus track on what album?,"Too Weird To Live, Too Rare To Die!",A Fever You Can't Sweat Out,Death Of A Bachelor,Vices &amp; Virtues
Science: Computers,multiple,hard,America Online (AOL) started out as which of these online service providers?,Quantum Link,CompuServe,Prodigy,GEnie
Entertainment: Musicals & Theatres,multiple,hard,Who serves as the speaker of the prologue in Shakespeare's Romeo and Juliet?,Chorus,Montague,Refrain,Capulet
Entertainment: Books,multiple,hard,Which of the following is NOT a work done by Shakespeare?,Trial of Temperance,Measure For Measure,Titus Andronicus,Cymbeline
Entertainment: Video Games,multiple,hard,In the original DOOM (1993) which of the following is NOT a cheat code?,IDCLIP,IDFA,IDDQD,IDSPISPOPD
Science: Computers,multiple,hard,What does the International System of Quantities refer 1024 bytes as?,Kibibyte,Kylobyte,Kilobyte,Kelobyte
Science: Gadgets,multiple,hard,Which of the following cellular device companies is NOT headquartered in Asia?,Nokia,LG Electronics,Samsung,HTC
History,multiple,hard,What was the aim of the Umbrella Revolution in Hong Kong in 2014?,Genuine universal suffrage,Gaining Independence,Go back under British Rule,Lower taxes
Entertainment: Video Games,multiple,hard,What programming language was used to create the game Minecraft?,Java,HTML 5,C++,Python
Geography,multiple,hard,Which of these cities has a 4&deg; East longitude. ,Amsterdam,Rio de Janero,Toronto,Hong Kong
Entertainment: Music,multiple,hard,Who is a pioneer of Minimal Music in 1960s?,Steve Reich,Wolfgang Amadeus Mozart,Brian Eno,Sigur R&oacute;s
Entertainment: Music,multiple,hard,What was the name of the hip hop group Kanye West was a member of in the late 90s?,The Go-Getters,The Jumpers,The Kickstarters,The Beat-Busters
Entertainment: Video Games,multiple,hard,"In Call Of Duty: Zombies, which map's opening cutscene shows Richtofen killing another version of himself?",The Giant,Shadows Of Evil,Der Eisendrache,Moon
History,multiple,hard,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Operation Typhoon,Operation Sunflower,Operation Barbarossa,Case Blue
Entertainment: Film,multiple,hard,In what year does Jurassic World open in the Jurassic Park universe?,2005,2007,2015,2020
Entertainment: Film,multiple,hard,"Which actors made up the trio in The Good, the Bad, and the Ugly? ","Clint Eastwood, Eli Wallach, and Lee Van Cleef","Sergio Leone, Ennio Morricone, and Tonino Delli Colli","Yul Brynner, Steve McQueen, and Charles Bronson","Aldo Giuffr&egrave;, Mario Brega, and Luigi Pistilli"
Geography,multiple,hard,What is the capital city of Bermuda?,Hamilton,Santo Dominigo,San Juan,Havana
Entertainment: Books,multiple,hard,"In Margaret Atwood's The Handmaid's Tale, what is Offred's real name is implied to be?",June,August,April,May
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, which Chinese Zodiac sign is not represented in the Zodiac Weapon Set?",Ox,Rabbit,Tiger,Goat
Entertainment: Video Games,multiple,hard,"In World of Warcraft, which raid instance features a chess event?",Karazhan,Zul'Aman,Blackwing Lair,Temple of Ahn'Qiraj
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, what is the first name of Kasmeer Meade's brother?",Kyle,Dave,Kevin,Ken
Entertainment: Books,multiple,hard,"In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?",Sarpadia,Otaria,Terisiare,Shiv
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, what is the name of the elder dragon which is fought once all lanes have been cleared in the Dragon's Stand zone?",Mouth of Mordremoth,Wing of Mordremoth,Fang of Mordremoth,Claw of Mordremoth
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, which jumping puzzle rewards players with a Rich Silver Vein instead of a chest at the end?",Grendich Gamble,Branded Mine,Pig Iron Quarry,Coddler's Cove
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, what is the name of the legendary golden lightning sword with dragons twisting up the blade?",Bolt,Kudzu,Twilight,Astralaria
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, what is the name of the legendary green longbow covered in flowers?",Kudzu,Quip,The Dreamer,Nevermore
Entertainment: Video Games,multiple,hard,"In Guild Wars 2, what is the name of the legendary mace with a disco ball as its head?",The Moot,The Predator,Quip,The Dreamer
Entertainment: Comics,multiple,hard,"In 1978, Superman teamed up with what celebrity, to defeat an alien invasion?",Muhammad Ali,Mike Tyson,Sylvester Stallone,Arnold Schwarzenegger
Science & Nature,multiple,hard,Which of the following is the term for surgical complications resulting from surgical sponges left inside the patient's body?,Gossypiboma,Gongoozler,Jentacular,Meupareunia
