id,category,difficulty,question,optionA,optionB,optionC,optionD,correct
65,Science & Nature,medium,"What polymer is used to make CDs, safety goggles and riot shields?",Polycarbonate,Rubber,Nylon,Bakelite,A
66,Science & Nature,medium,Which part of the body does glaucoma affect?,Throat,Eyes,Stomach,Blood,B
67,General Knowledge,medium,What is the Swedish word for window?,Skärm,Hål,Fönster,Ruta,C
68,Science: Computers,medium,In the server hosting industry IaaS stands for...,Infrastructure as a Server,Internet as a Service,Internet and a Server,Infrastructure as a Service,D
69,Geography,medium,What is the right way to spell the capital of Hungary?,Budapest,Boodapest,Bhudapest,Budapast,A
70,Sports,medium,Which car manufacturer won the 2016 24 Hours of Le Mans?,Toyota,Porsche,Audi,Ferrari,B
71,Entertainment: Video Games,medium,The creator of the Touhou Project series is:,RUN,SUN,ZUN,PUN,C
72,Entertainment: Video Games,medium,"In Overwatch, what is the name of Mercy's ultimate ability?",Molten Core,Earthshatter,Rocket Barrage,Valkyrie,D
73,Entertainment: Music,medium,"Which of these songs by artist Eminem contain the lyric Nice to meet you. Hi, my name is... I forgot my name!?",Rain Man,Without Me,Kim,Square Dance,A
74,Entertainment: Music,medium,What is the real name of Canadian electronic music producer deadmau5?,Sonny Moore,Joel Zimmerman,Adam Richard Wiles,Thomas Wesley Pentz,B
75,Entertainment: Video Games,medium,How many normal endings are there in Cry Of Fear's campaign mode?,3,5,4,6,C
76,History,medium,Which WWII tank ace is credited with having destroyed the most tanks?,Otto Carius,Michael Wittmann,Walter Kniep,Kurt Knispel,D
77,Geography,medium,What is the official language of Bhutan?,Dzongkha,Ladakhi,Karen,Groma,A
78,Entertainment: Music,medium,Which one of these rappers is NOT a member of the rap group Wu-Tang Clan?,Ol' Dirty Bastard,Dr.Dre,GZA,Method Man,B
79,Entertainment: Video Games,medium,In what Anno game did the eco balance an part of the game play?,Anno 2205,Anno 1404,Anno 2070,Anno 1701,C
80,Animals,medium,Which of these species is not extinct?,Saudi gazelle,Japanese sea lion,Tasmanian tiger,Komodo dragon,D
81,Sports,medium,"In 2016, who won the Formula 1 World Constructor's Championship for the third time in a row?",Mercedes-AMG Petronas,Scuderia Ferrari,McLaren Honda,Red Bull Racing Renault,A
82,Entertainment: Television,medium,What is the name of the Flash and Arrow spinoff featuring a team of characters that have appeared on both shows?,Heroes of Tomorrow,Legends of Tomorrow,The Justice Society of America,The Justice Society,B
83,Entertainment: Video Games,medium,"In Overwatch, how old is Reinhardt Wilhelm?",65,59,61,62,C
84,Entertainment: Cartoon & Animations,medium,"In The Amazing World of Gumball, who is the principal of Elmore Junior High?",Principal Simeon,Principal Small,Principal Brawn,Principal Brown,D
85,History,medium,What was the total length of the Titanic?,882 ft | 268.8 m,759 ft | 231.3 m,1042 ft | 317.6 m,825 ft | 251.5 m,A
86,Entertainment: Cartoon & Animations,medium,Which one of these cartoon characters is NOT voiced by Rob Paulsen?,Carl Wheezer (Jimmy Neutron),Max Tennyson (Ben 10),Yakko Warner (Animaniacs),"The Mask (The Mask, TV Series)",B
87,Entertainment: Video Games,medium,"In Terraria, which of these items is NOT crafted at a Mythril Anvil?",Sky Fracture,Venom Staff,Ankh Charm,Orichalcum Tools,C
88,Entertainment: Books,medium,"What is the name of the gang that Ponyboy is a part of in the book, The Outsiders?",The Socs,The Outsiders,The Mafia,The Greasers,D
89,Entertainment: Video Games,medium,"In Dota 2, what is Earthshaker's real name?",Raigor Stonehoof,Banehallow Ambry,Carl,Barathrum,A
90,Entertainment: Japanese Anime & Manga,medium,The character Plum from No Game No Life is of what race?,Flügel,Dhampir,Imanity,Seiren,B
91,Entertainment: Japanese Anime & Manga,medium,Who is the creator of the manga series One Piece?,Hayao Miyazaki,Yoshihiro Togashi,Eiichiro Oda,Masashi Kishimoto,C
92,Entertainment: Video Games,medium,When was Club Penguin launched?,22-Nov-04,21-Oct-05,29-Mar-06,24-Oct-05,D
93,Entertainment: Video Games,medium,What is the name of the creature that the main character befriends in The Last Guardian?,Trico,Nico,Wolf,Andazi,A
94,Entertainment: Film,medium,Mark Wahlberg played the titular character of which 2008 video-game adaptation?,Alan Wake,Max Payne,Hitman,God Of War,B
95,Entertainment: Video Games,medium,"In Call Of Duty: Zombies, what does the game traditionally reward you for completing a boss round?",Death Machine,A Pack-A-Punched gun,Max Ammo,Monkey Bombs,C
96,Entertainment: Video Games,medium,What was the main currency in Club Penguin?,Gems,Stamps,Tickets,Coins,D
97,General Knowledge,medium,Earl Grey tea is black tea flavoured with what?,Bergamot oil,Lavender,Vanilla,Honey,A
98,Entertainment: Video Games,medium,"In Guild Wars 2, what is the name of the home instance for the Charr race?",Gladium Canton,Hero's Canton,Praetor's Canton,Ligacus Notos,B
99,Entertainment: Film,medium,"In Mulan (1998), who is the leader of the Huns?",Li Shang,Chien-Po,Shan Yu,Fa Zhou,C
100,Entertainment: Music,hard,On which Beatles album would you find the song 'Eleanor Rigby'?,Abbey Road,Help!,Rubber Soul,Revolver,D
101,Science & Nature,hard,Which of the following liquids is least viscous? Assume temperature is 25°C.,Acetone,Water,Mercury,Benzene,A
102,Entertainment: Books,hard,Who wrote the novel Moby-Dick?,William Golding,Herman Melville,William Shakespeare,J. R. R. Tolkien,B
103,Entertainment: Video Games,hard,"In the game The Sims, how many Simoleons does each family start with?","15,000","10,000","20,000","25,000",C
104,Science & Nature,hard,How many legs is it biologically impossible for a centipede to have?,74,26,50,100,D
105,History,hard,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,New York Spy Ring,Washington's Spies,Unnamed,A
106,Entertainment: Music,hard,Which M83 album is the song Midnight City featured in?,Saturdays = Youth,"Hurry Up, We're Dreaming",Before the Dawn Heals Us,Junk,B
107,Geography,hard,The mountainous Khyber Pass connects which of the two following countries?,Pakistan and India,India and Nepal,Afghanistan and Pakistan,Tajikistan and Kyrgyzstan,C
108,Geography,hard,In 2012 the German-speaking microstate Liechtenstein in Central Europe had a population of how many inhabitants?,"323,400","2,400","90,000","36,600",D
109,Entertainment: Video Games,hard,"In Sonic the Hedgehog 2 for the Sega Genesis, what do you input in the sound test screen to access the secret level select?",The Lead Programmer's birthday,The first release date of Sonic the Hedgehog,The date Sonic Team was founded,The first release date of Sonic the Hedgehog 2,A
110,Mythology,hard,"In Greek Mythology, who was the daughter of King Minos?",Athena,Ariadne,Ariel,Alana,B
111,General Knowledge,hard,What is the romanized Chinese word for airplane?,Zongxian,Qiche,Feiji,Huojian,C
112,General Knowledge,hard,Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Ezra,Gus,Phineas,Harry,D
113,Entertainment: Japanese Anime & Manga,hard,Which of the following countries does JoJo's Bizarre Adventure: Stardust Crusaders not take place in?,Philippines,India,Pakistan,Egypt,A
114,Entertainment: Film,hard,In what Disney movie can you spot the character Pac-Man in if you look closely enough in some scenes?,Big Hero 6,Tron,Fantasia,"Monsters, Inc.",B
115,Entertainment: Japanese Anime & Manga,hard,What is the last line muttered in the anime film The End of Evangelion?,Nothing.,"Idiot, I won't let you kill me!",How disgusting.,"Goddammit, Shinji.",C
116,Vehicles,hard,Which one of these chassis codes are used by BMW 3-series?,F10,E39,E85,E46,D
117,Entertainment: Television,hard,In It's Always Sunny in Philadelphia what was the name of Frank's wrestling persona?,The Trash Man,Bird of War,Day Man,The Maniac,A
118,Entertainment: Comics,hard,"In the Homestuck Series, what is the alternate name for the Kingdom of Lights?",No Name,Prospit,Golden City,Yellow Moon,B
119,Vehicles,hard,What engine is in the Lexus SC400?,7M-GTE,2JZ-GTE,1UZ-FE,5M-GE,C
120,Entertainment: Video Games,hard,"In Animal Crossing: New Leaf, which of these paintings from Redd's Art Gallery is always genuine?",Wistful Painting,Jolly Painting,Neutral Painting,Warm Painting,D
121,Entertainment: Music,hard,All the Boys by Panic! At the Disco was released as a bonus track on what album?,"Too Weird To Live, Too Rare To Die!",A Fever You Can't Sweat Out,Death Of A Bachelor,Vices & Virtues,A
122,Science: Computers,hard,America Online (AOL) started out as which of these online service providers?,CompuServe,Quantum Link,Prodigy,GEnie,B
123,Entertainment: Musicals & Theatres,hard,Who serves as the speaker of the prologue in Shakespeare's Romeo and Juliet?,Refrain,Montague,Chorus,Capulet,C
124,Entertainment: Books,hard,Which of the following is NOT a work done by Shakespeare?,Cymbeline,Measure For Measure,Titus Andronicus,Trial of Temperance,D
125,Entertainment: Video Games,hard,In the original DOOM (1993) which of the following is NOT a cheat code?,IDCLIP,IDFA,IDDQD,IDSPISPOPD,A
126,Science: Computers,hard,What does the International System of Quantities refer 1024 bytes as?,Kylobyte,Kibibyte,Kilobyte,Kelobyte,B
127,Science: Gadgets,hard,Which of the following cellular device companies is NOT headquartered in Asia?,Samsung,LG Electronics,Nokia,HTC,C
128,History,hard,What was the aim of the Umbrella Revolution in Hong Kong in 2014?,Lower taxes,Gaining Independence,Go back under British Rule,Genuine universal suffrage,D
129,Entertainment: Video Games,hard,What programming language was used to create the game Minecraft?,Java,HTML 5,C++,Python,A
130,Geography,hard,Which of these cities has a 4° East longitude.,Rio de Janero,Amsterdam,Toronto,Hong Kong,B
131,Entertainment: Music,hard,Who is a pioneer of Minimal Music in 1960s?,Brian Eno,Wolfgang Amadeus Mozart,Steve Reich,Sigur Rós,C
132,Entertainment: Music,hard,What was the name of the hip hop group Kanye West was a member of in the late 90s?,The Beat-Busters,The Jumpers,The Kickstarters,The Go-Getters,D
133,Entertainment: Video Games,hard,"In Call Of Duty: Zombies, which map's opening cutscene shows Richtofen killing another version of himself?",The Giant,Shadows Of Evil,Der Eisendrache,Moon,A
134,History,hard,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Operation Sunflower,Operation Typhoon,Operation Barbarossa,Case Blue,B
135,Entertainment: Film,hard,In what year does Jurassic World open in the Jurassic Park universe?,2015,2007,2005,2020,C
136,Entertainment: Film,hard,"Which actors made up the trio in The Good, the Bad, and the Ugly? ","Aldo Giuffrè, Mario Brega, and Luigi Pistilli","Sergio Leone, Ennio Morricone, and Tonino Delli Colli","Yul Brynner, Steve McQueen, and Charles Bronson","Clint Eastwood, Eli Wallach, and Lee Van Cleef",D
137,Geography,hard,What is the capital city of Bermuda?,Hamilton,Santo Dominigo,San Juan,Havana,A
138,Entertainment: Books,hard,"In Margaret Atwood's The Handmaid's Tale, what is Offred's real name is implied to be?",August,June,April,May,B
139,Entertainment: Video Games,hard,"In Guild Wars 2, which Chinese Zodiac sign is not represented in the Zodiac Weapon Set?",Tiger,Rabbit,Ox,Goat,C
140,Entertainment: Video Games,hard,"In World of Warcraft, which raid instance features a chess event?",Temple of Ahn'Qiraj,Zul'Aman,Blackwing Lair,Karazhan,D
141,Entertainment: Video Games,hard,"In Guild Wars 2, what is the first name of Kasmeer Meade's brother?",Kyle,Dave,Kevin,Ken,A
142,Entertainment: Books,hard,"In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?",Otaria,Sarpadia,Terisiare,Shiv,B
143,Entertainment: Video Games,hard,"In Guild Wars 2, what is the name of the elder dragon which is fought once all lanes have been cleared in the Dragon's Stand zone?",Fang of Mordremoth,Wing of Mordremoth,Mouth of Mordremoth,Claw of Mordremoth,C
144,Entertainment: Video Games,hard,"In Guild Wars 2, which jumping puzzle rewards players with a Rich Silver Vein instead of a chest at the end?",Coddler's Cove,Branded Mine,Pig Iron Quarry,Grendich Gamble,D
145,Entertainment: Video Games,hard,"In Guild Wars 2, what is the name of the legendary golden lightning sword with dragons twisting up the blade?",Bolt,Kudzu,Twilight,Astralaria,A
146,Entertainment: Video Games,hard,"In Guild Wars 2, what is the name of the legendary green longbow covered in flowers?",Quip,Kudzu,The Dreamer,Nevermore,B
147,Entertainment: Video Games,hard,"In Guild Wars 2, what is the name of the legendary mace with a disco ball as its head?",Quip,The Predator,The Moot,The Dreamer,C
148,Entertainment: Comics,hard,"In 1978, Superman teamed up with what celebrity, to defeat an alien invasion?",Arnold Schwarzenegger,Mike Tyson,Sylvester Stallone,Muhammad Ali,D
149,Science & Nature,hard,Which of the following is the term for surgical complications resulting from surgical sponges left inside the patient's body?,Gossypiboma,Gongoozler,Jentacular,Meupareunia,A
